division,fold,diff_acc,diff_fairness
train,0,-0.020768330733229368,0.006001197548373208
repair,0,0.01403508771929829,0.010716436451235628
test,0,-0.0005118231139318308,0.00454628563142169
train,1,-0.02354719188767551,0.004608059201698114
repair,1,0.01403508771929829,0.007048197598972669
test,1,0.0007165523595045187,0.008861410849271889
train,2,-0.0118461463462195,0.011808183497771796
repair,2,0.012724879333040784,0.012065056668346646
test,2,0.002047292455727323,0.01139372990291282
train,3,-0.002729976112708976,0.001837724270933122
repair,3,0.007020623080298383,0.002192333567223953
test,3,0.0007165523595045187,0.001200047076092281
train,4,-0.0072636864427436665,0.0015305470123479076
repair,4,0.00877577885037295,0.00042990229358172427
test,4,0.00020472924557279892,0.0009842058281632343
train,5,-0.00658119241456645,0.003945624254711538
repair,5,0.007020623080298272,0.003604028942649398
test,5,0.0004094584911453758,0.0034309729579174997
train,6,-0.02374104226588014,0.012435938603395633
repair,6,0.008336989907854364,0.012597681826882132
test,6,0.004299314157027223,0.016912489673809095
train,7,-0.015356115633988199,0.006181258267905582
repair,7,0.012724879333040895,0.005067528078173539
test,7,0.0030709386835909847,0.006958262470839582
train,8,-0.03193097060400718,0.008120773790120842
repair,8,0.018429135585783185,0.007136145838128327
test,8,0.005220595762104541,0.009830635533339557
train,9,-0.01681860283722514,0.004314178332475188
repair,9,0.017112768758227315,0.005961574216437351
test,9,0.0010236462278635505,0.006212983578824993
