division,metrics,fold_0,fold_1,fold_2,fold_3,fold_4
train,acc,0.778125,0.7671875,0.7796875,0.8015625,0.7875
train,f1,0.8520833333333334,0.8403001071811361,0.8485499462943072,0.868937048503612,0.8629032258064517
train,pre,0.808300395256917,0.7983706720977597,0.8144329896907216,0.8271119842829077,0.7896678966789668
train,rec,0.9008810572687225,0.8868778280542986,0.8856502242152466,0.9152173913043479,0.9511111111111111
train,mcc,0.4233759935739372,0.42313961890677004,0.45244818529248776,0.47507808587564304,0.4454663970870548
repair,acc,0.75,0.7,0.7375,0.675,0.75
repair,f1,0.8290598290598291,0.7913043478260869,0.8278688524590164,0.7719298245614036,0.84251968503937
repair,pre,0.776,0.8348623853211009,0.7952755905511811,0.704,0.7588652482269503
repair,rec,0.8899082568807339,0.7520661157024794,0.8632478632478633,0.8543689320388349,0.9469026548672567
repair,mcc,0.3842570538216746,0.26767889393942645,0.2833291818136371,0.23776174420176216,0.3146851227637566
test,acc,0.66,0.665,0.69,0.685,0.695
test,f1,0.7687074829931972,0.7598566308243728,0.7876712328767123,0.7906976744186047,0.8
test,pre,0.7197452229299363,0.7464788732394366,0.7419354838709677,0.725609756097561,0.7261904761904762
test,rec,0.8248175182481752,0.7737226277372263,0.8394160583941606,0.8686131386861314,0.8905109489051095
test,mcc,0.14292563759476504,0.20708827573742758,0.22747938499871578,0.18659521049089894,0.20317763546283163
