division,fold,diff_acc,diff_fairness
train,0,0.005555555555555536,-0.004189807383550542
repair,0,0.033333333333333326,-0.003299406336413485
test,0,0.019999999999999907,-0.005263223946094513
train,1,0.0,0.0
repair,1,0.0,0.0
test,1,0.0,0.0
train,2,-0.015277777777777835,0.001451172493398191
repair,2,0.016666666666666607,0.0037872057822015553
test,2,0.010000000000000009,0.0018007946014404336
train,3,-0.011111111111111183,0.0004087203906642106
repair,3,0.061111111111111116,0.0008867240614361255
test,3,-0.030000000000000027,-0.006009729802608492
train,4,0.001388888888888884,0.0021696292277839455
repair,4,0.02777777777777779,0.0029404415024651426
test,4,0.019999999999999907,0.0021472519636154177
