division,fold,diff_acc,diff_fairness
train,0,-0.04343093883856464,0.04196377757394202
repair,0,0.02243285939968398,0.039036632896158496
test,0,0.011648481273960454,0.03850186818446293
train,1,-0.02296187065515065,0.02496442433512487
repair,1,0.018009478672985746,0.02732933430132896
test,1,0.008109702152757303,0.026493352468704996
train,2,-0.04090302647286004,0.04132496307355581
repair,2,0.014218009478673022,0.038427997221382626
test,2,0.003465054556178182,0.03934084663464132
train,3,-0.03525033354399276,0.025604051037477843
repair,3,0.011690363349131205,0.028305784775647144
test,3,0.003465054556178071,0.02444802653067968
train,4,-0.03395126746717225,0.03298949150376584
repair,4,0.017693522906793047,0.03673158397548546
test,4,0.005971689767030441,0.03117684168656159
train,5,-0.038129344849378466,0.034118038723458054
repair,5,0.01674565560821495,0.03489226788145713
test,5,0.007446181067531699,0.034171294448897736
train,6,-0.03117758584369079,0.02116168263430917
repair,6,0.020221169036334863,0.023159279273665567
test,6,0.0014007667354762887,0.022038655274194997
train,7,-0.02935084085243822,0.030200262483513797
repair,7,0.012326169405815435,0.03161033956212859
test,7,0.0038336773813034686,0.03104419259102187
train,8,-0.02836779833584946,0.03431749899371463
repair,8,0.01864728192161813,0.029884277123436838
test,8,0.010395163668534435,0.03162750800622082
train,9,-0.009584664536741228,0.0006325377810424415
repair,9,0.007269279393173234,-0.0006930742906770815
test,9,-0.002875258035977657,-0.00037219479356530305
