division,metrics,fold_0,fold_1,fold_2,fold_3,fold_4
train,acc,0.7527777777777778,0.7388888888888889,0.6944444444444444,0.7791666666666667,0.7611111111111111
train,f1,0.8323917137476459,0.8153241650294695,0.819672131147541,0.8466730954676952,0.8286852589641435
train,pre,0.8110091743119267,0.8011583011583011,0.6944444444444444,0.825187969924812,0.8156862745098039
train,rec,0.8549323017408124,0.83,1.0,0.8693069306930693,0.8421052631578947
train,mcc,0.36457319525067006,0.3709762995814391,0.0,0.45505290358814476,0.4351229680838911
repair,acc,0.6388888888888888,0.7111111111111111,0.7166666666666667,0.6944444444444444,0.7444444444444445
repair,f1,0.7430830039525692,0.792,0.8349514563106796,0.7717842323651453,0.8283582089552238
repair,pre,0.6666666666666666,0.8181818181818182,0.7166666666666667,0.7948717948717948,0.8345864661654135
repair,rec,0.8392857142857143,0.7674418604651163,1.0,0.75,0.8222222222222222
repair,mcc,0.1743025625817354,0.32261912457043446,0.0,0.31197955091381074,0.32860724697480076
test,acc,0.74,0.7,0.71,0.72,0.7
test,f1,0.8169014084507042,0.7794117647058824,0.8304093567251462,0.7941176470588235,0.782608695652174
test,pre,0.8169014084507042,0.8153846153846154,0.71,0.8307692307692308,0.8059701492537313
test,rec,0.8169014084507042,0.7464788732394366,1.0,0.7605633802816901,0.7605633802816901
test,mcc,0.3686255463817387,0.3164985303210119,0.0,0.36270269533137856,0.30136195760877904
