division,fold,diff_acc,diff_fairness
train,0,-0.02777777777777779,-0.0027816905329624813
repair,0,0.03888888888888897,-0.002958983514044021
test,0,0.030000000000000027,-0.0006059190630912769
train,1,-0.025000000000000022,0.006919752351111832
repair,1,0.07777777777777772,0.004991757869720458
test,1,0.040000000000000036,0.007270344495773316
train,2,0.0,0.0
repair,2,0.0,0.0
test,2,0.0,0.0
train,3,-0.002777777777777768,-0.0009021511508358823
repair,3,0.01666666666666672,-4.657606283823765e-05
test,3,0.0,-0.00026307106018066614
train,4,-0.029166666666666674,0.009371603280305861
repair,4,0.022222222222222254,0.01294275008969837
test,4,0.040000000000000036,0.019927111864089964
